,A2C Agent 1,A2C Agent 2,SAC Agent 1,SAC Agent 2,Mean Var,djia
2025-02-25 16:30:00+00:00,952733.3163824466,952733.3163824466,980146.9444719544,980146.9444719544,907213.9165500294,970604.002220336
2025-02-25 17:30:00+00:00,951584.4654302981,951584.4654302981,978964.9237810364,978964.9237810364,906119.8332486938,971196.8417236239
2025-02-25 18:30:00+00:00,943431.2767401126,943431.2767401126,970576.3354173889,970576.3354173889,898355.320731306,970717.355853852
2025-02-25 19:30:00+00:00,954882.8597174075,954882.8597174075,982358.5496355286,982358.5496355286,909260.9875507365,975628.8815989908
2025-02-25 20:30:00+00:00,938687.6012640382,938687.6012640382,965695.7000719298,965695.7000719298,893837.7842174335,973780.4326167582
2025-02-26 14:30:00+00:00,967001.4390020755,967001.4390020755,994827.0177446594,994827.0177446594,920801.8538454206,977963.0944983901
2025-02-26 15:30:00+00:00,981565.9918585208,981565.9918585208,1009812.0798174134,1009812.0798174134,934672.090051306,976823.541701145
2025-02-26 16:30:00+00:00,982617.0129156497,982617.0129156497,1010893.4460588684,1010893.4460588684,935673.0071727188,975793.4187577941
2025-02-26 17:30:00+00:00,966447.0318975833,966447.0318975833,994256.6037431946,994256.6037431946,920273.8762570029,968438.0758691564
2025-02-26 18:30:00+00:00,962850.7370977786,962850.7370977786,990556.4763628235,990556.4763628235,916849.022859103,969350.1366434455
2025-02-26 19:30:00+00:00,969150.9823370364,969150.9823370364,997038.6229082337,997038.6229082337,922848.9248461276,969151.070223971
2025-02-26 20:30:00+00:00,974932.3332891848,974932.3332891848,1002986.8935991516,1002986.8935991516,928354.6691065794,969797.9706909357
2025-02-27 14:30:00+00:00,944987.8465032962,944987.8465032962,972177.8466173401,972177.8466173401,899837.6862044582,977886.973173729
2025-02-27 15:30:00+00:00,936093.4125738528,936093.4125738528,963026.6117082825,963026.6117082825,891367.2648509853,976822.2337746045
2025-02-27 16:30:00+00:00,942023.0351934816,942023.0351934816,969127.4349809875,969127.4349809875,897014.2124199672,975884.0144695041
2025-02-27 17:30:00+00:00,945951.3861456302,945951.3861456302,973169.2056719055,973169.2056719055,900755.2922967725,975880.8754458067
2025-02-27 18:30:00+00:00,917304.0219793705,917304.0219793705,943694.7319627992,943694.7319627992,873473.5960045173,971369.6624171842
2025-02-27 19:30:00+00:00,903703.0087652591,903703.0087652591,929701.0289446106,929701.0289446106,860520.965890946,965598.3057642764
2025-02-27 20:30:00+00:00,889620.1974554447,889620.1974554447,915211.6173082582,915211.6173082582,847109.5058045762,965396.27471131
2025-02-28 14:30:00+00:00,909780.8465032962,909780.8465032962,935954.3466173401,935954.3466173401,866309.0629151751,970819.3741240161
2025-02-28 15:30:00+00:00,901108.7635260014,901108.7635260014,927031.8823992006,927031.8823992006,858050.3926712145,967910.8070831023
2025-02-28 16:30:00+00:00,905711.6318121341,905711.6318121341,931767.6451555481,931767.6451555481,862433.8345099378,968954.3580722697
2025-02-28 17:30:00+00:00,893844.3000555423,893844.3000555423,919557.6786180725,919557.6786180725,851132.2383524772,964798.7266724763
2025-02-28 18:30:00+00:00,893029.7106695559,893029.7106695559,918719.5703264466,918719.5703264466,850356.4818080916,966694.0866199638
2025-02-28 19:30:00+00:00,903517.6974554447,903517.6974554447,929510.3673082582,929510.3673082582,860344.4886819248,972307.6201369766
2025-02-28 20:30:00+00:00,926976.6842413332,926976.6842413332,953646.6642900695,953646.6642900695,882685.146241283,978399.0700119126
2025-03-03 14:30:00+00:00,885914.1974554447,885914.1974554447,911398.6173082582,911398.6173082582,843580.1770372832,979533.9142736116
2025-03-03 15:30:00+00:00,883764.7106695559,883764.7106695559,909187.0703264466,909187.0703264466,841533.1598898593,975970.4248162842
2025-03-03 16:30:00+00:00,877761.0087652591,877761.0087652591,903010.0289446106,903010.0289446106,835815.6645198952,977372.4348726699
2025-03-03 17:30:00+00:00,854264.925787964,854264.925787964,878835.5647264709,878835.5647264709,813439.6792067626,969688.5408370416
2025-03-03 18:30:00+00:00,860231.5880499271,860231.5880499271,884974.4970537416,884974.4970537416,819121.9006762358,969874.2664058022
2025-03-03 19:30:00+00:00,838922.0880499271,838922.0880499271,863049.7470537416,863049.7470537416,798828.2602643012,959835.4070363309
2025-03-03 20:30:00+00:00,845148.1974554447,845148.1974554447,869455.6173082582,869455.6173082582,804757.5605970607,964254.2804511894
2025-03-04 14:30:00+00:00,827359.3861456302,827359.3861456302,851153.2056719055,851153.2056719055,787816.7717433977,950058.8305357947
2025-03-04 15:30:00+00:00,828990.0351934816,828990.0351934816,852830.9349809875,852830.9349809875,789369.6850175319,946511.4721724677
2025-03-04 16:30:00+00:00,859973.6677313235,859973.6677313235,884709.1300340882,884709.1300340882,818876.2758515954,950954.6730209807
2025-03-04 17:30:00+00:00,861380.4390020756,861380.4390020756,886156.5177446596,886156.5177446596,820215.9839775712,951308.4235526529
2025-03-04 18:30:00+00:00,873016.5416021731,873016.5416021731,898128.5790544739,898128.5790544739,831297.3740600583,956402.797428163
2025-03-04 19:30:00+00:00,881318.7370977786,881318.7370977786,906670.4763628235,906670.4763628235,839203.789978658,959576.6991666066
2025-03-04 20:30:00+00:00,859601.5748358157,859601.5748358157,884326.294035553,884326.294035553,818521.9212481899,949036.7295418927
2025-03-05 14:30:00+00:00,859675.7106695559,859675.7106695559,884402.5703264466,884402.5703264466,818592.522902455,950591.2438329083
2025-03-05 15:30:00+00:00,855524.2170782473,855524.2170782473,880131.2143999329,880131.2143999329,814638.9379701728,948550.0936736988
2025-03-05 16:30:00+00:00,864071.7789984132,864071.7789984132,888925.5623766173,888925.5623766173,822779.0232845439,954176.79365122
2025-03-05 17:30:00+00:00,861899.2767401126,861899.2767401126,886690.3354173889,886690.3354173889,820710.0878508609,954105.3808621049
2025-03-05 18:30:00+00:00,868123.9158697514,868123.9158697514,893094.6929460756,893094.6929460756,826637.9879982574,960321.8685143192
2025-03-05 19:30:00+00:00,872202.0087652591,872202.0087652591,897290.5289446106,897290.5289446106,830521.6713689559,961763.1163669219
2025-03-05 20:30:00+00:00,869459.548407593,869459.548407593,894468.887999176,894468.887999176,827909.9486939771,959690.7503609441
2025-03-06 14:30:00+00:00,851332.743292847,851332.743292847,875818.7239671936,875818.7239671936,810647.2787666736,954795.3557098056
2025-03-06 15:30:00+00:00,845518.7635260014,845518.7635260014,869836.8823992006,869836.8823992006,805110.46116182,957219.5539551959
2025-03-06 16:30:00+00:00,827549.1082830813,827549.1082830813,851348.4054857483,851348.4054857483,787997.449508508,948590.9881768672
2025-03-06 17:30:00+00:00,826803.5087652591,826803.5087652591,850581.2789446106,850581.2789446106,787287.3939696171,948941.8612701502
2025-03-06 18:30:00+00:00,819354.4125738528,819354.4125738528,842917.1117082825,842917.1117082825,780193.4086812569,946808.9818628954
2025-03-06 19:30:00+00:00,823558.4968023684,823558.4968023684,847242.5766741028,847242.5766741028,784197.077166908,950090.1335776655
2025-03-06 20:30:00+00:00,819725.0351934816,819725.0351934816,843298.4349809875,843298.4349809875,780546.3630992994,950364.8853462875
2025-03-07 14:30:00+00:00,823134.548407593,823134.548407593,846806.387999176,846806.387999176,783793.339102815,950614.2633400224
2025-03-07 15:30:00+00:00,813202.4390020756,813202.4390020756,836587.5177446596,836587.5177446596,774334.7100027627,943276.0978866174
2025-03-07 16:30:00+00:00,808051.1012640382,808051.1012640382,831287.4500719298,831287.4500719298,769428.9451703567,944634.5975867535
2025-03-07 17:30:00+00:00,819198.0543890382,819198.0543890382,842756.2391344298,842756.2391344298,780044.50435323,951120.2565210165
2025-03-07 18:30:00+00:00,832103.0616217044,832103.0616217044,856033.8410173645,856033.8410173645,792334.30825727,956278.1956263983
2025-03-07 19:30:00+00:00,834734.3465032962,834734.3465032962,858741.0966173401,858741.0966173401,794840.1553774927,955629.725647585
